K,T1,T2,L,Kp,Ki,Kd,ISE,SSE,RiseTime,SettlingTime,Overshoot,SystemType,SystemCategory,wc,PhaseMargin,DesignFocus
7.78749553173421,2.98249894053773,0,4.65831550014664,0.222726240835144,0.00383031464255452,0.341708906692578,13.4849321094508,0.206649477892274,0.354210985579636,43.5013714069627,0.862863225206367,PT1_VeryHighGain,VeryHighGain,1.01,31.2990444233002,reference-tracking
8.46035055164447,3.0810632986014,2.12760566561919,2.52100085359759,0.0549542088390077,0.000656656416656633,1.14975084097154,46.9405812544036,0.728043500983284,0.14138496135823,49.9958343437865,562.588777683014,PT2_VeryHighGain,VeryHighGain,1.3654784238599,83.1399083284034,disturbance-rejection
3.07366210335126,9.38003670605499,0,4.02564398662102,0.754498958793026,0.0124033020931565,2.98854375378297,63.9077833572113,0.161695183290114,18.209954171761,42.1427821265184,0,PT1_LowGain,LowGain,1.01,44.3208909728395,reference-tracking
1.35545186648922,19.9541792221387,0,1.52601423166528,4.86819865874963,0.0816767415504259,14.0092257256241,12.0445620524447,0.0475169436885814,9.92751153857601,29.7235223372606,0,PT1_LowGain,LowGain,1.01,88.5147484253705,disturbance-rejection
8.07603708165445,0.71545299894844,0,1.39448823787353,0.150188739024038,0.0266646312527959,0.0538154861284892,2.04939460142469,0.00186438531150057,13.2916829278818,27.6670186354601,0,PT1_VeryHighGain,VeryHighGain,1.01,84.3833713031962,reference-tracking
4.05759542430502,0.930239005637974,0.781346602563454,0.132384393135347,0.720185254592563,0.500834178964349,0.258901460162464,0.386071879827572,1.11022302462516e-15,0.851403171426627,3.07622658448109,4.64296692781563,PT2_VeryHighGain,VeryHighGain,1.63856926833964,58.9764619664377,disturbance-rejection
0.546908364444924,21.7402363839429,0,0.213486941500118,39.6032014474908,10.3412670691759,3.36094897322545,0.579729960085085,1.08240727492159e-09,1.35020351282421,10.0056612140765,12.2964946769534,PT1_VeryLowGain,VeryLowGain,1.01,33.2386880602285,reference-tracking
5.63666614156305,5.89222773143308,5.06089374138127,0.915908978697936,0.195123175251466,0.00172457711545985,5.51918687469975,7.92437474418236,0.40340469555076,0.53222360805192,25.2965932124781,60.5705331807002,PT2_HighGain,HighGain,1.01,71.1913660786291,balanced
7.114514121478,6.57154775925105,3.32214117153151,2.35887775825776,0.115588645858328,0.00102161895017013,3.26950059245107,14.5685925807873,0.482469697622394,0.384972917032489,49.2561290754103,200.942012807349,PT2_HighGain,HighGain,1.01,26.5128183789877,balanced
3.02125228584506,2.85079784781224,0,1.67504817150739,0.510465476057294,0.0087515039468258,0.870147551894785,9.96276232757477,0.232996315532207,23.3222839317466,44.0526274442712,0,PT1_VeryHighGain,VeryHighGain,1.01,88.3000574335641,reference-tracking
4.58166853670006,2.60142005186961,0,0.469673616204494,1.48126790593984,0.375590860724261,0.190669727317412,0.497822380547267,1.89739662093125e-07,0.340225816433655,3.79167947805013,9.55117257909499,PT1_HighGain,HighGain,2.65960848623444,24.9610128472096,disturbance-rejection
6.77883934993095,2.45598028947478,0,0.208754788787499,0.491691644874987,0.353723241181333,0,0.4753011622366,4.44089209850063e-16,0.806742929795535,4.44202785731899,9.66400068712336,PT1_HighGain,HighGain,1.45762453929913,30.04346351387,disturbance-rejection
4.89490396728032,1.48723731359773,0,0.125085608573866,1.10133374158618,1.12334854469112,0,0.218298396667959,6.66133814775094e-16,0.282109009938489,1.91900811546141,8.62972653497032,PT1_VeryHighGain,VeryHighGain,3.69943439274772,40.0304256028348,reference-tracking
1.13635730394212,17.8494452569457,0,0.586944550006088,15.7698002669978,3.22580880842454,1.23836215752157,0.893165987828506,9.47622204705567e-07,0.949385461997749,10.4763815293387,16.4849087830127,PT1_LowGain,LowGain,1.01,24.6243253652092,balanced
3.78531723646708,1.93902105383063,1.72042652223513,2.5337711552633,0.0835432212741081,0.00113431772658886,1.53825283191231,51.7056605833817,0.514030505071927,0.212985641179748,49.9928660474435,256.186000620419,PT2_VeryHighGain,VeryHighGain,1.55156906396811,41.6629307913414,disturbance-rejection
5.70985293345755,2.33041519919081,9.50849531847839,2.05859922698565,0.151327581353536,0.00133749403884937,4.28039980238186,12.2803840878621,0.46277247850525,0.413940451850323,24.616423092133,148.593371302287,PT2_HighGain,HighGain,1.01,46.2582523321954,balanced
6.02226746641378,2.16643426548657,0.840365082600364,1.53308043789459,0.042767359514224,0.000677049702549666,0.675373991352103,26.8574284639381,0.694870812077624,0.127125484491406,47.3378450397626,294.603563255569,PT2_VeryHighGain,VeryHighGain,1.80907146635077,61.3090470996284,disturbance-rejection
1.02956075953211,10.7657339995141,17.0990420194166,0.54713410626835,40.022630004982,2.23137249982831,179.464759093219,0.896787646368573,5.64780776561857e-05,0.942625680451211,11.3260962725098,12.2003336056161,PT2_MediumGain,MediumGain,1.01,39.1851628215087,balanced
2.56795781480358,17.3860623007132,0,3.59348249044998,0.625185355847634,0.00893842151322442,6.76180675018549,15596.1391514939,0.259300353324647,27.9306627785328,44.9428978814233,0,PT1_LowGain,LowGain,1.01,55.7363146094152,balanced
7.65079526365205,1.25256977368812,3.55848932281155,1.14843148910294,0.411041829635872,0.0527365303376774,0.715388001392846,1.56544390014469,0.000101366515378398,0.80591808952812,16.1476744026288,12.1315892788333,PT2_VeryHighGain,VeryHighGain,1.01,52.1329275667653,balanced
2.65811642606664,12.5389311270922,0,0.390626685015875,4.67427043510512,1.00605353177915,0,0.761651441647055,6.94291432123961e-07,1.04787271788754,9.99733956493598,10.6127072183431,PT1_MediumGain,MediumGain,1.01,41.1141665091924,disturbance-rejection
0.826372587719827,2.61555705251666,0,2.27015043794371,1.84498515485083,0.0812956930126121,3.13487922528217,277.214565710618,0.0960014945226959,27.0890730201851,44.0551208066855,0,PT1_VeryLowGain,VeryLowGain,2.74106620623318,31.4173132469798,disturbance-rejection
