type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,type_PT1,type_PT1+Td,type_PT2,type_PT2+Td,ISE
PT2+Td,1.1520562256228966,49.82139945407365,1.805455264535912,1.1849011172641228,,,[1.1520562256228966],[89.95030793 51.62685472  1.        ],1,20,2.857223547402553,0.5167971388358152,0.7866684471119959,25.112556278139067,9.104552276138069,0.4386101570578995,good,False,False,False,True,8.204933929556804
PT1+Td,2.057387396577549,48.91167415624222,0.0,1.7520558904288848,,,[2.057387396577549],"[48.91167415624222, 1]",1,20,1.6913646856101647,0.9085699863747366,0.6911384388999926,14.707353676838418,5.102551275637818,0.4928646611379854,good,False,True,False,False,0.0
PT1,0.960969721981982,26.25696627012265,0.0,0.0,,,[0.9609697219819819],"[26.25696627012265, 1]",1,20,2.990608963006128,0.8786585926978865,0.4746450035756673,15.407703851925962,5.002501250625312,0.2986461705324519,good,True,False,False,False,0.0
PT1+Td,1.4744277829661292,19.820895480525145,0.0,2.2738246145693486,,,[1.4744277829661292],"[19.820895480525145, 1]",1,20,0.7734213045484826,0.2063133071880752,0.6018250189434149,24.412206103051524,8.404202101050524,0.243601654542211,good,False,True,False,False,7.821547376253704
PT2,1.0848520706194202,40.307725134572046,19.022729566694924,0.0,,,[1.0848520706194202],[766.76295468  59.3304547    1.        ],1,20,2.0928832805862627,0.1320564986177699,0.7563613490786126,57.32866433216608,23.71185592796398,0.5239429839781449,good,False,False,True,False,6.030412864532354
PT1,2.038700763434369,20.23849849796396,0.0,0.0,,,[2.0387007634343686],"[20.238498497963956, 1]",1,20,0.8183817798626104,0.3026684354403339,0.0900871658333842,16.408204102051023,5.702851425712856,0.3140285053778422,good,True,False,False,False,0.0
PT1+Td,1.6121745743441604,49.8848160236764,0.0,0.7965765351716434,,,[1.6121745743441604],"[49.8848160236764, 1]",1,20,1.659843723557621,0.7825958354318392,0.5772683370117794,18.209104552276138,6.4032016008004,0.4966226006521128,good,False,True,False,False,7.318710669284015
PT2+Td,2.801553333661283,2.8311031052306035,41.33235456014894,1.6821421993351242,,,[2.801553333661283],[117.01615734  44.16345767   1.        ],1,20,1.5009387332820356,0.0438337557864034,0.6384277534374044,39.11955977988994,10.505252626313156,0.02498037622904,good,False,False,False,True,7.339892582685835
PT2,2.4458939229644026,37.61908059793086,2.855652367022693,0.0,,,[2.4458939229644026],[107.42701655  40.47473296   1.        ],1,20,2.182980026717124,0.716725979876687,0.5732674161581972,14.307153576788393,5.5027513756878434,0.778605157413194,good,False,False,True,False,0.0
PT1+Td,1.6411117399986692,9.158291899586152,0.0,2.7205595343661195,,,[1.6411117399986692],"[9.158291899586153, 1]",1,20,1.807895494241688,0.7972964843547213,0.8020192889832778,7.603801900950475,2.2011005502751373,0.1760659927508382,good,False,True,False,False,0.0
PT1,1.80887998247122,35.80020070351468,0.0,0.0,,,[1.80887998247122],"[35.80020070351468, 1]",1,20,2.599086841590624,0.1972888147810044,0.1994010832292201,25.112556278139067,6.4032016008004,0.1077700864488462,good,True,False,False,False,7.637548082958053
