type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,type_PT1,type_PT1+Td,type_PT2,type_PT2+Td,ISE,rise_time,ss_error
PT2+Td,2.1977247706545797,43.63459735658839,7.332810673959301,0.359921541745584,,,[2.1977247706545793],[319.96424125  50.96740803   1.        ],1,20,2.9437240749640337,0.1751781991052622,0.9312253023338286,24.51225612806403,9.704852426213106,0.3960778636786539,good,False,False,False,True,8.10212891301305,2.215794385752437,49.0
PT1+Td,2.1219393825222346,10.14092800661982,0.0,2.4425369320948014,,,[2.1219393825222346],"[10.14092800661982, 1]",1,20,1.522483667289019,0.4015867827422551,0.1138128230151959,9.204602301150574,2.501250625312656,0.1168989425178528,good,False,True,False,False,6.661818339538831,1.4053083850113535,49.0
PT1,0.9010091358977214,30.705902698573137,0.0,0.0,,,[0.9010091358977214],"[30.705902698573137, 1]",1,20,1.1636377564245466,0.3084091951102149,0.6377215622489971,31.41570785392696,11.305652826413208,0.3287919509140854,good,True,False,False,False,7.781657108478785,1.4567662876282377,49.0
PT1+Td,1.0988634389782417,47.932779184939726,0.0,1.976320095777083,,,[1.0988634389782415],"[47.932779184939726, 1]",1,20,2.115716645224853,0.5680323266827263,0.8647033160209453,25.112556278139067,8.604302151075537,0.3984993075743125,good,False,True,False,False,8.139526088133566,2.6983370416414103,49.0
PT1+Td,1.6443989247249915,42.98848693501823,0.0,3.59464965246153,,,[1.6443989247249917],"[42.98848693501823, 1]",1,20,1.812576948588684,0.0665001397160149,0.0274955189450949,56.0280140070035,13.006503251625812,0.0450087544742569,good,False,True,False,False,6.956360242731077,0.7231709629025739,49.0
PT2+Td,1.186743511504856,38.2198331400089,17.50954919142248,1.384250910031123,,,[1.1867435115048561],[669.21204845  55.72938233   1.        ],1,20,1.2035963352083372,0.0591102663092613,0.805674518977822,74.13706853426713,30.815407703851925,0.3087973559446713,good,False,False,False,True,5.2445914058371,0.0924076917053021,49.0
PT1+Td,0.9731236488291212,48.65048967066161,0.0,1.1772334261753543,,,[0.9731236488291211],"[48.65048967066161, 1]",1,20,2.302693884044117,0.4887217846685521,0.2470791195412978,28.614307153576785,9.804902451225612,0.3673651382706384,good,False,True,False,False,8.027152044990165,2.0495966115515643,49.0
PT1,0.9520244559679754,46.608826534571705,0.0,0.0,,,[0.9520244559679754],"[46.608826534571705, 1]",1,20,1.0035511585139716,0.5471178547879648,0.9074282827921376,28.614307153576785,10.705352676338167,0.529852649379479,good,True,False,False,False,8.101540453257169,1.9440898938790718,49.0
PT1,1.4659544583348412,44.62939977440402,0.0,0.0,,,[1.4659544583348412],"[44.62939977440402, 1]",1,20,2.576296667390701,0.6193044140943007,0.4247316215593523,19.2096048024012,6.203101550775387,0.3397459145439511,good,True,False,False,False,7.677597410018979,3.5289549610845494,49.0
PT2+Td,1.1520562256228966,49.82139945407365,1.805455264535912,1.1849011172641228,,,[1.1520562256228966],[89.95030793 51.62685472  1.        ],1,20,2.857223547402553,0.5167971388358152,0.7866684471119959,25.112556278139067,9.104552276138069,0.4386101570578995,good,False,False,False,True,8.204933929556804,2.56448617798804,49.0
PT1+Td,1.4744277829661292,19.820895480525145,0.0,2.2738246145693486,,,[1.4744277829661292],"[19.820895480525145, 1]",1,20,0.7734213045484826,0.2063133071880752,0.6018250189434149,24.412206103051524,8.404202101050524,0.243601654542211,good,False,True,False,False,7.821547376253704,2.3243855438439414,49.0
PT2,1.0848520706194202,40.307725134572046,19.022729566694924,0.0,,,[1.0848520706194202],[766.76295468  59.3304547    1.        ],1,20,2.0928832805862627,0.1320564986177699,0.7563613490786126,57.32866433216608,23.71185592796398,0.5239429839781449,good,False,False,True,False,6.030412864532354,0.1977460373110739,49.0
PT1+Td,1.6121745743441604,49.8848160236764,0.0,0.7965765351716434,,,[1.6121745743441604],"[49.8848160236764, 1]",1,20,1.659843723557621,0.7825958354318392,0.5772683370117794,18.209104552276138,6.4032016008004,0.4966226006521128,good,False,True,False,False,7.318710669284015,3.870138497231559,49.0
