type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,ISE,SSE,SettlingTime,RiseTime
PT2+Td,2.8731632398958853,10.479485677594427,46.44304769984113,4.185564424435019,,,[2.8731632398958853],[486.69925319  56.92253338   1.        ],1,20,2.0455620788681577,0.1659442753532816,0.5004590967982211,29.31465732866433,11.705852926463232,0.6083523092017805,good,,,,
PT1,1.83841597203932,21.46726323195007,,,,,[1.8384159720393196],"[21.46726323195007, 1]",1,20,0.9553780698129922,0.8709059372240684,0.7384439723108781,11.005502751375689,3.901950975487744,199.0,good,-24.99819917722564,199.0,0.15606828127103967,0.0814858192139921
Osc2,0.686226926826708,,,,0.8893497093495804,0.1835152437535346,[0.02311064386371045],"[1, 0.3264184573868469, 0.033677844689919245]",1,20,2.647954008239685,0.3963587981902122,0.9086520300102112,13.506753376688344,5.802901450725362,199.0,good,-1.4508140493545358,199.0,0.04604715741003893,0.04077842197890332
PT1,0.6132743070880091,35.654310099525446,,,,,[0.6132743070880091],"[35.654310099525446, 1]",1,20,1.9374846372819745,0.0786667104275726,0.4107027369225862,100.15007503751876,25.51275637818909,199.0,good,402.3108384203879,199.0,0.039382533226590716,0.02584147704319467
Osc2,2.158687649674233,,,,0.6260501663362238,0.4208819540370381,[0.382393425683808],"[1, 0.5269864346656052, 0.17714161923403546]",1,20,1.720113682534385,0.7019276554061799,0.5919925590758823,3.5017508754377187,1.4007003501750874,199.0,good,-0.12913494845030807,199.0,0.41466122973017794,0.35997785844903885
PT2+Td,2.9877719654556154,28.35912028731202,13.550259713497184,3.902811210964188,,,[2.9877719654556154],[384.27344514  41.90938      1.        ],1,20,0.8638545439500684,0.0160915017556837,0.4382934186509635,44.122061030515255,19.50975487743872,0.0287273049503169,good,,,,
PT1,2.704770178997149,37.048162748483335,,,,,[2.704770178997149],"[37.048162748483335, 1]",1,20,1.449959737384255,0.90036396404334,0.8897362063479863,11.305652826413208,3.8019009504752375,199.0,good,-28.57856827583631,199.0,0.17420888490554867,0.093920809081159
PT1,0.6398458216017682,13.89428605562069,,,,,[0.6398458216017682],"[13.89428605562069, 1]",1,20,1.317014588151173,0.9620551447011908,0.4881255854741026,14.4072036018009,5.302651325662831,199.0,good,-37.64845129609179,199.0,0.09487620206803785,0.0608943388132585
PT2+Td,2.1977247706545797,43.63459735658839,7.332810673959301,0.359921541745584,,,[2.1977247706545793],[319.96424125  50.96740803   1.        ],1,20,2.9437240749640337,0.1751781991052622,0.9312253023338286,24.51225612806403,9.704852426213106,0.3960778636786539,good,,,,
Osc2,0.7824365898304809,,,,0.7490735814706424,1.0749469663066036,[0.9041140709937637],"[1, 1.6104287478845791, 1.1555109803717702]",1,20,2.759854465049847,0.5701631772831052,0.0267876642032708,1.8009004502251125,1.0005002501250624,199.0,good,22.03159017387473,199.0,0.6412844160872937,0.5921862291829896
Osc2,2.8469719075133764,,,,0.895624346413374,1.1070470098274656,[3.489115195529143],"[1, 1.9829965092512079, 1.2255530819679328]",1,20,2.033829512156119,0.1509558018581518,0.2719582789506068,1.0005002501250624,0.5002501250625312,199.0,good,62.33563371233809,199.0,1.0128606867738452,0.7614894885650154
PT1+Td,2.1219393825222346,10.14092800661982,,2.4425369320948014,,,[2.1219393825222346],"[10.14092800661982, 1]",1,20,1.522483667289019,0.4015867827422551,0.1138128230151959,9.204602301150574,2.501250625312656,199.0,good,-13.508026624777342,199.0,0.30285089208636257,0.22005929367312466
PT1,0.9010091358977214,30.705902698573137,,,,,[0.9010091358977214],"[30.705902698573137, 1]",1,20,1.1636377564245466,0.3084091951102149,0.6377215622489971,31.41570785392696,11.305652826413208,199.0,good,-201.832667288489,199.0,0.053904072438969726,0.0289342278733713
PT1+Td,0.5034743233329704,10.851903588453409,,2.585037330959462,,,[0.5034743233329704],"[10.851903588453407, 1]",1,20,1.3642738546934985,0.7884259610564196,0.8385774056468219,16.30815407703852,6.003001500750375,199.0,good,-37.31626846021451,199.0,0.10469228315457715,0.05566242387224469
PT1,2.135652809346975,15.816864778677347,,,,,[2.135652809346975],"[15.816864778677347, 1]",1,20,0.9644992292844056,0.2100054879317309,0.2468433918443418,16.908454227113555,5.202601300650325,199.0,good,-43.58844252370545,199.0,0.1537646217689828,0.0974110431363315
PT1+Td,1.0988634389782417,47.932779184939726,,1.976320095777083,,,[1.0988634389782415],"[47.932779184939726, 1]",1,20,2.115716645224853,0.5680323266827263,0.8647033160209453,25.112556278139067,8.604302151075537,199.0,good,-95.25144910080857,199.0,0.07021309287943617,0.0413318976848145
Osc2,0.6326918795775001,,,,0.7638037972283481,1.3688647702447263,[1.1855321973840482],"[1, 2.091088218810065, 1.8737907592171479]",1,20,1.9388509867953123,0.7125383579120943,0.8255570601383567,131.06553276638317,1.200600300150075,199.0,good,13.531968971835962,199.0,0.5950465296512814,0.41435357427068814
Osc2,2.013723341549825,,,,0.8429636987514276,1.4043290037084026,[3.9713442514401867],"[1, 2.367596742459885, 1.9721399506566348]",1,20,1.585831025706674,0.6246590308973593,0.9325882549148043,76.63831915957978,0.400200100050025,199.0,good,2.790844273614572,199.0,0.8376746653673939,0.34395993598356367
PT1+Td,1.6443989247249915,42.98848693501823,,3.59464965246153,,,[1.6443989247249917],"[42.98848693501823, 1]",1,20,1.812576948588684,0.0665001397160149,0.0274955189450949,56.0280140070035,13.006503251625812,199.0,good,-139.33082570127655,199.0,0.06838118711937011,0.053560822876815684
PT1+Td,1.5551983071254512,44.16201814408258,,3.256374550939457,,,[1.5551983071254512],"[44.16201814408258, 1]",1,20,2.734585893852551,0.5987465780991169,0.2345072025584409,18.509254627313656,5.9029514757378685,199.0,good,-83.86879875662892,199.0,0.10712200073021813,0.07981528513089023
